NAME,Height,Easting,Northing
Battfjellet Formation,455.429,530649.987,8651883.446
Battfjellet Formation,453.925,530689.470,8651853.366
Battfjellet Formation,451.070,530735.508,8651833.860
Battfjellet Formation,450.986,530781.546,8651814.353
Battfjellet Formation,451.269,530827.584,8651794.847
Battfjellet Formation,449.188,530873.622,8651775.341
Battfjellet Formation,449.855,530919.660,8651755.834
Battfjellet Formation,514.162,515019.819,8664608.301
Battfjellet Formation,542.901,515031.954,8664653.618
Battfjellet Formation,566.804,515046.936,8664701.321
Battfjellet Formation,590.173,515009.577,8664730.039
Battfjellet Formation,588.222,514967.496,8664757.043
Battfjellet Formation,578.522,514925.416,8664784.048
Battfjellet Formation,554.860,514883.336,8664811.053
Battfjellet Formation,542.735,514841.256,8664838.057
Battfjellet Formation,530.318,514794.554,8664854.102
Battfjellet Formation,534.415,514745.843,8664865.381
Battfjellet Formation,530.879,514697.131,8664876.659
Battfjellet Formation,529.567,514648.420,8664887.937
Battfjellet Formation,515.445,514599.709,8664899.216
Battfjellet Formation,505.986,514550.997,8664910.494
Battfjellet Formation,512.504,514502.286,8664921.772
Battfjellet Formation,502.522,514453.574,8664933.051
Battfjellet Formation,532.957,514404.863,8664944.329
Battfjellet Formation,545.428,514356.152,8664955.608
Battfjellet Formation,554.060,514307.440,8664966.886
Battfjellet Formation,553.311,514258.729,8664978.164
Battfjellet Formation,555.369,514216.964,8665003.761
Battfjellet Formation,547.907,514178.000,8665035.095
Battfjellet Formation,553.788,514139.036,8665066.429
Battfjellet Formation,547.763,514100.073,8665097.763
Battfjellet Formation,550.987,514061.109,8665129.097
Battfjellet Formation,539.643,514022.145,8665160.431
Battfjellet Formation,528.606,513983.181,8665191.765
Battfjellet Formation,525.563,513942.556,8665218.247
Battfjellet Formation,533.087,513892.564,8665217.375
Battfjellet Formation,541.849,513842.571,8665216.502
Battfjellet Formation,544.874,513793.303,8665211.610
Battfjellet Formation,556.862,513746.152,8665194.973
Battfjellet Formation,554.554,513699.001,8665178.336
Battfjellet Formation,545.384,513653.283,8665159.031
